Frame,Ángulo_Rodilla,Ángulo_Brazo
0,152.43153654119956,94.78886315071468
1,131.27914084103574,94.98338606138294
2,132.59291103254483,97.1826470542685
3,124.64359268537741,95.79180031951672
4,127.0466008174523,97.75973130934206
5,133.17400700163506,93.06700593014651
6,139.08621488100562,90.80721765720916
7,137.3661768223194,98.90179355226974
8,154.8508910482639,89.97000845246292
9,155.3072729821707,90.24534654301729
10,150.82182390776262,77.90913506931247
11,154.80817996927036,78.50638406017725
12,160.30368845277943,72.36530892189822
13,156.11839732809952,76.44155142930217
14,131.18946997621916,79.17616693591081
15,156.65980534133658,78.92505870359734
16,161.17047312294326,81.24718962615911
17,165.65414893361842,83.52961490328144
18,167.3483136560217,83.08248148071102
19,165.37244626288071,78.08994140086389
20,154.01740946505984,78.72254327070243
21,138.2297339789962,81.38795837012094
22,125.59343242002747,78.42672122214928
23,123.28482785923154,94.86539582631886
24,108.77553688145566,98.55248315517332
25,90.14873911611897,84.70628611534183
26,81.08517577789202,94.27336458661509
27,88.40598529359747,104.87343342647547
28,128.87813626831786,100.66460639284121
29,114.04128998725747,99.42257463569773
30,155.1976435149602,100.5001553033361
31,156.07116806696476,98.76544317319988
32,135.54347946647914,93.0746788685239
33,125.92800454505415,93.99408897911127
34,142.14422603493063,100.40300450399525
35,137.1154384413985,104.25518233174783
36,132.90877426878222,101.90311119010312
37,141.75752430993234,93.68928137305052
38,157.05353480530547,95.49711638887813
39,152.23103532708623,96.07807504938681
40,150.06692864833758,91.15666680964706
41,154.02027701838455,82.46327282007938
42,152.11125808479474,76.09120874116694
43,87.69257676512917,68.00089266808006
44,100.4359318922645,66.91830710718398
45,155.72954470687426,66.78544128671746
46,158.47001707836782,67.98924396453407
47,153.3155175662765,69.33397310944807
48,153.59692163209075,70.5453770069794
49,148.16550189736842,73.31392850669562
50,139.06204141180595,87.64606609900022
51,127.40052310506921,100.9243470204656
52,104.07543608319219,97.44657172221731
53,103.26682196540526,98.47475133058988
54,128.3341263156391,107.17748215521459
55,135.22629814415197,114.6591264172798
56,137.41230103410243,113.3533264894942
57,143.5447335673673,106.21430324391791
58,158.88704136573972,103.38885439654214
59,163.23633942296158,103.81319007043747
60,163.84274931839013,102.66045616050604
61,161.5072612574624,101.26497774619739
62,160.5259261905587,100.1135181162161
63,155.68677181875813,100.0511686514091
