rodilla_derecha,rodilla_izquierda,tobillo_derecho,tobillo_izquierdo,cadera_derecha,cadera_izquierda,codo_derecho,codo_izquierdo,muñeca_derecha,muñeca_izquierda,hombro_derecho,hombro_izquierdo,frame
152.43153654119956,140.5670530925517,65.80074385999934,68.57777297308826,149.66939197150157,130.1351830405885,94.78886315071468,96.01316018159775,166.4720715583221,88.53314540789187,51.833641242998304,77.80483350525638,0
131.27914084103574,144.5456194323308,73.59250736431792,50.8688691014085,135.38476307266515,131.94628992147457,94.98338606138294,103.29601820512636,161.6119290339096,101.42838373424875,39.42476010131066,80.11990572842583,1
132.59291103254483,140.37924683081033,83.79019102316718,49.76633475585326,130.1739439121432,126.29867634878823,97.1826470542685,105.26963907109966,160.59372462483248,106.45415151673043,29.990284510962745,77.72783599862984,2
124.64359268537741,137.06373839593994,80.12746361196254,47.003583362249614,126.66483442415634,122.33006025097775,95.79180031951672,102.33441193769897,165.21897237269496,102.45494043171196,26.05677617346887,78.81719923645723,3
127.0466008174523,87.34156696237297,56.620492874842455,70.94718624506157,148.7266694503317,119.47862064822463,97.75973130934206,100.34738100424855,166.5181407856606,111.41782811188092,19.189942765697072,76.34633227020709,4
133.17400700163506,112.46542837632605,71.58813978873056,53.9673287057678,154.47025215953366,128.25992746763723,93.06700593014651,93.55961525331274,163.80356434259656,99.74371145717576,23.777580282349028,76.81613026461291,5
139.08621488100562,124.64252183951011,78.07331064986222,66.41100175383013,159.1209756195945,128.59270580552212,90.80721765720916,94.24030445798083,164.08409842385447,90.57741132672423,27.96803744184885,80.74753414095946,6
137.3661768223194,129.3321934641029,59.04630316523997,62.956551685262355,155.482891085743,133.15216409780336,98.90179355226974,95.17627217597337,159.60953944871613,85.83704289613458,28.005448728725455,81.23643601214744,7
154.8508910482639,84.68869611822593,74.27240393676209,83.06237452603038,169.00936397991262,125.7186628240125,89.97000845246292,106.65195082690245,160.05343108018812,92.31107531260331,27.708653677095583,78.33158587590395,8
155.3072729821707,79.4830736246202,71.66327142635522,96.97400045441388,157.31328330609261,112.95958050824377,90.24534654301729,107.10093047188698,162.16822108485061,89.87107506249832,27.199629907004727,83.97700354519252,9
150.82182390776262,89.00109557661482,65.62306040054506,71.08273563958608,163.45158935265798,124.55974552984651,77.90913506931247,133.05879086193548,162.3820456097287,124.13293918231787,33.938962366644105,97.60177057463785,10
